hotel_id,period,occupancy,adr_mad,revpar_mad,trevpar_mad,gop_margin,source
1,2025FY,0.72,4200,3024,4800,0.38,HIQ Estimate
2,2025FY,0.68,2800,1904,2800,0.35,HIQ Estimate
3,2025FY,0.7,3200,2240,3200,0.36,HIQ Estimate
4,2025FY,0.65,1600,1040,1400,0.32,HIQ Estimate
5,2025FY,0.67,2200,1474,2000,0.34,HIQ Estimate
6,2025FY,0.66,1900,1254,1700,0.33,HIQ Estimate
7,2025FY,0.72,650,468,550,0.28,HIQ Estimate
8,2025FY,0.65,2400,1560,2100,0.34,HIQ Estimate
10,2025FY,0.63,1700,1071,1400,0.31,HIQ Estimate
11,2025FY,0.74,5500,4070,6800,0.42,HIQ Estimate
12,2025FY,0.68,6200,4216,7200,0.4,HIQ Estimate
13,2025FY,0.65,9500,6175,11000,0.45,HIQ Estimate
14,2025FY,0.72,3800,2736,4200,0.38,HIQ Estimate
15,2025FY,0.66,4800,3168,5500,0.4,HIQ Estimate
16,2025FY,0.67,1800,1206,1600,0.32,HIQ Estimate
19,2025FY,0.66,2200,1452,2000,0.34,HIQ Estimate
20,2025FY,0.7,700,490,580,0.29,HIQ Estimate
21,2025FY,0.69,3600,2484,4200,0.38,HIQ Estimate
22,2025FY,0.73,2200,1606,2600,0.35,HIQ Estimate
23,2025FY,0.66,2000,1320,1800,0.33,HIQ Estimate
24,2025FY,0.63,1600,1008,1300,0.31,HIQ Estimate
27,2025FY,0.72,2400,1728,2800,0.36,HIQ Estimate
28,2025FY,0.64,2000,1280,1800,0.33,HIQ Estimate
29,2025FY,0.62,1800,1116,1600,0.32,HIQ Estimate
30,2025FY,0.66,600,396,480,0.27,HIQ Estimate
31,2025FY,0.61,1500,915,1200,0.3,HIQ Estimate
32,2025FY,0.62,5800,3596,6500,0.38,HIQ Estimate
33,2025FY,0.63,3200,2016,3800,0.35,HIQ Estimate
34,2025FY,0.64,4000,2560,4800,0.37,HIQ Estimate
35,2025FY,0.68,3000,2040,2800,0.36,HIQ Estimate
38,2025FY,0.67,580,389,460,0.27,HIQ Estimate
40,2025FY,0.61,1800,1098,1600,0.31,HIQ Estimate
41,2025FY,0.63,560,353,420,0.26,HIQ Estimate
43,2025FY,0.57,1300,741,1100,0.27,HIQ Estimate
44,2025FY,0.61,2000,1220,1700,0.32,HIQ Estimate
49,2025FY,0.64,2100,1344,1800,0.33,HIQ Estimate
50,2025FY,0.7,620,434,520,0.27,HIQ Estimate
52,2025FY,0.68,750,510,620,0.28,HIQ Estimate
53,2025FY,0.63,2200,1386,1800,0.33,HIQ Estimate
55,2025FY,0.63,1700,1071,1400,0.31,HIQ Estimate
56,2025FY,0.61,1600,976,1300,0.3,HIQ Estimate
58,2025FY,0.71,8500,6035,11000,0.44,HIQ Estimate
59,2025FY,0.62,12000,7440,16000,0.47,HIQ Estimate
60,2025FY,0.68,4500,3060,5800,0.41,HIQ Estimate
61,2025FY,0.65,6500,4225,8000,0.43,HIQ Estimate
65,2025FY,0.66,2600,1716,2400,0.35,HIQ Estimate
69,2025FY,0.64,1800,1152,1900,0.33,HIQ Estimate
70,2025FY,0.63,1500,945,1600,0.31,HIQ Estimate
71,2025FY,0.74,3000,2220,4800,0.37,HIQ Estimate
75,2025FY,0.7,2200,1540,2200,0.35,HIQ Estimate
78,2025FY,0.66,1600,1056,1600,0.32,HIQ Estimate
86,2025FY,0.63,1900,1197,1700,0.33,HIQ Estimate
88,2025FY,0.65,650,422,500,0.27,HIQ Estimate
89,2025FY,0.6,1400,840,1200,0.3,HIQ Estimate
90,2025FY,0.61,1500,915,1200,0.3,HIQ Estimate
91,2025FY,0.6,1400,840,1100,0.3,HIQ Estimate
92,2025FY,0.62,2000,1240,1800,0.33,HIQ Estimate
93,2025FY,0.62,3400,2108,3800,0.36,HIQ Estimate
94,2025FY,0.64,2800,1792,3800,0.35,HIQ Estimate
95,2025FY,0.65,2800,1820,2400,0.35,HIQ Estimate
98,2025FY,0.62,1600,992,1400,0.31,HIQ Estimate
100,2025FY,0.67,3800,2546,4500,0.42,HIQ Estimate
104,2025FY,0.58,2000,1160,1800,0.32,HIQ Estimate
105,2025FY,0.56,1400,784,1400,0.29,HIQ Estimate
107,2025FY,0.6,560,336,400,0.26,HIQ Estimate
108,2025FY,0.55,1600,880,1500,0.3,HIQ Estimate
111,2025FY,0.68,2800,1904,3200,0.40,HIQ Estimate
121,2025FY,0.65,3800,2470,4800,0.4,HIQ Estimate
122,2025FY,0.6,560,336,420,0.25,HIQ Estimate
123,2025FY,0.63,2200,1386,2000,0.33,HIQ Estimate
124,2025FY,0.58,1400,812,1100,0.29,HIQ Estimate
125,2025FY,0.58,2800,1624,3200,0.38,HIQ Estimate
126,2025FY,0.59,560,330,410,0.25,HIQ Estimate
128,2025FY,0.58,1800,1044,1400,0.31,HIQ Estimate
129,2025FY,0.56,1200,672,1000,0.28,HIQ Estimate
131,2025FY,0.56,500,280,360,0.24,HIQ Estimate
132,2025FY,0.53,1200,636,850,0.27,HIQ Estimate
133,2025FY,0.52,1500,780,1100,0.28,HIQ Estimate
134,2025FY,0.55,500,275,350,0.24,HIQ Estimate
135,2025FY,0.53,1300,689,950,0.27,HIQ Estimate
137,2025FY,0.70,1750,1225,1900,0.33,HIQ Estimate
143,2025FY,0.72,1700,1224,2500,0.34,HIQ Estimate
144,2025FY,0.5,480,240,320,0.23,HIQ Estimate
146,2025FY,0.51,1000,510,720,0.25,HIQ Estimate
147,2025FY,0.56,1600,896,1200,0.3,HIQ Estimate
148,2025FY,0.58,560,325,400,0.25,HIQ Estimate
149,2025FY,0.55,1200,660,900,0.27,HIQ Estimate
150,2025FY,0.53,1100,583,820,0.26,HIQ Estimate
151,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
152,2025FY,0.74,4800,3552,5500,0.44,HIQ Estimate
153,2025FY,0.7,6500,4550,8190,0.42,HIQ Estimate
154,2025FY,0.7,6500,4550,8190,0.42,HIQ Estimate
155,2025FY,0.73,4200,3066,4800,0.43,HIQ Estimate
156,2025FY,0.69,7200,4968,8500,0.46,HIQ Estimate
157,2025FY,0.72,8500,6120,10000,0.48,HIQ Estimate
158,2025FY,0.71,3400,2414,4000,0.41,HIQ Estimate
159,2025FY,0.66,2400,1584,2455,0.35,HIQ Estimate
160,2025FY,0.72,2400,1728,2800,0.38,HIQ Estimate
161,2025FY,0.68,3600,2448,4200,0.42,HIQ Estimate
162,2025FY,0.64,1700,1088,1523,0.32,HIQ Estimate
163,2025FY,0.74,1800,1332,1980,0.33,HIQ Estimate
164,2025FY,0.70,4500,3150,5200,0.42,HIQ Estimate
165,2025FY,0.66,2400,1584,2455,0.35,HIQ Estimate
167,2025FY,0.70,3800,2660,4200,0.42,HIQ Estimate
168,2025FY,0.68,680,462,517,0.27,HIQ Estimate
169,2025FY,0.68,680,462,517,0.27,HIQ Estimate
171,2025FY,0.67,3400,2278,3645,0.39,HIQ Estimate
174,2025FY,0.64,1500,960,1296,0.31,HIQ Estimate
176,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
177,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
178,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
179,2025FY,0.67,630,422,473,0.27,HIQ Estimate
180,2025FY,0.62,2000,1240,1850,0.34,HIQ Estimate
181,2025FY,0.68,2800,1904,3200,0.42,HIQ Estimate
183,2025FY,0.61,1800,1098,1702,0.33,HIQ Estimate
185,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
187,2025FY,0.68,3200,2176,3800,0.40,HIQ Estimate
188,2025FY,0.63,3000,1890,3118,0.38,HIQ Estimate
189,2025FY,0.6,1300,780,1092,0.3,HIQ Estimate
194,2025FY,0.65,1800,1170,2000,0.38,HIQ Estimate
196,2025FY,0.62,1200,744,1050,0.30,HIQ Estimate
197,2025FY,0.62,1600,992,1400,0.32,HIQ Estimate
198,2025FY,0.54,1100,594,772,0.27,HIQ Estimate
204,2025FY,0.74,1750,1295,2849,0.35,HIQ Estimate
207,2025FY,0.56,1500,840,1218,0.31,HIQ Estimate
209,2025FY,0.63,3000,1890,3118,0.38,HIQ Estimate
210,2025FY,0.61,1800,1098,1702,0.33,HIQ Estimate
212,2025FY,0.6,1300,780,1092,0.3,HIQ Estimate
213,2025FY,0.6,1300,780,1092,0.3,HIQ Estimate
215,2025FY,0.56,520,291,320,0.24,HIQ Estimate
216,2025FY,0.54,1100,594,772,0.27,HIQ Estimate
217,2025FY,0.54,1100,594,772,0.27,HIQ Estimate
218,2025FY,0.54,1100,594,772,0.27,HIQ Estimate
221,2025FY,0.56,1500,840,1218,0.31,HIQ Estimate
222,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
223,2025FY,0.65,2000,1300,1950,0.34,HIQ Estimate
224,2025FY,0.63,3000,1890,3118,0.38,HIQ Estimate
225,2025FY,0.56,1500,840,1218,0.31,HIQ Estimate
226,2025FY,0.54,1100,594,772,0.27,HIQ Estimate
230,2025FY,0.63,3000,1890,3118,0.38,HIQ Estimate
231,2025FY,0.6,1300,780,1092,0.3,HIQ Estimate
232,2025FY,0.68,3200,2176,3800,0.41,HIQ Estimate
233,2025FY,0.64,1700,1088,1523,0.32,HIQ Estimate
237,2025FY,0.71,1450,1030,2163,0.33,HIQ Estimate
238,2025FY,0.6,1300,780,1092,0.3,HIQ Estimate
239,2025FY,0.63,3000,1890,3118,0.38,HIQ Estimate
243,2025FY,0.64,1500,960,1296,0.31,HIQ Estimate
244,2025FY,0.54,1100,594,772,0.27,HIQ Estimate
245,2025FY,0.56,520,291,320,0.24,HIQ Estimate
248,2025FY,0.56,520,291,320,0.24,HIQ Estimate
249,2025FY,0.6,1300,780,1092,0.3,HIQ Estimate
250,2025FY,0.67,3400,2278,3645,0.39,HIQ Estimate
252,2025FY,0.63,1600,1008,1400,0.35,HIQ Estimate
256,2025FY,0.67,1480,992,1400,0.33,HIQ Estimate
257,2025FY,0.64,1290,826,1200,0.32,HIQ Estimate
258,2025FY,0.72,8500,6120,9800,0.46,HIQ Estimate
259,2025FY,0.68,9200,6256,10500,0.44,HIQ Estimate
260,2025FY,0.72,2800,2016,3200,0.34,HIQ Estimate
261,2025FY,0.68,4200,2856,5100,0.43,HIQ estimate
262,2025FY,0.68,2800,1904,2600,0.36,HIQ estimate
263,2025FY,0.67,2600,1742,2300,0.35,HIQ estimate
264,2025FY,0.74,4800,3552,5800,0.42,HIQ estimate
265,2025FY,0.72,6800,4896,8200,0.45,HIQ estimate
266,2025FY,0.58,1200,696,950,0.28,HIQ estimate
267,2025FY,0.55,1050,578,820,0.26,HIQ estimate
268,2025FY,0.62,1800,1116,1580,0.34,HIQ estimate
269,2025FY,0.68,2800,1904,3200,0.40,HIQ Estimate
270,2025FY,0.65,1800,1170,1600,0.34,HIQ Estimate
271,2025FY,0.72,850,612,780,0.30,HIQ Estimate
272,2025FY,0.68,780,530,680,0.28,HIQ Estimate
273,2025FY,0.65,1400,910,1200,0.33,HIQ Estimate
274,2025FY,0.65,1160,756,1000,0.30,HIQ Estimate
275,2025FY,0.65,780,507,680,0.28,HIQ Estimate
276,2025FY,0.62,720,446,620,0.26,HIQ Estimate
277,2025FY,0.68,1400,952,1200,0.30,HIQ Estimate
278,2025FY,0.74,1600,1184,1380,0.32,HIQ Estimate
279,2025FY,0.78,1800,1404,1950,0.33,HIQ Estimate
280,2025FY,0.76,1650,1254,1800,0.32,HIQ Estimate
281,2025FY,0.65,1500,975,1300,0.31,HIQ Estimate
282,2025FY,0.62,1100,682,950,0.27,HIQ Estimate
283,2025FY,0.70,700,490,580,0.28,HIQ Estimate
284,2025FY,0.72,1700,1224,1900,0.33,HIQ Estimate
285,2025FY,0.66,1600,1056,1500,0.32,HIQ Estimate
286,2025FY,0.68,2800,1904,3200,0.38,HIQ Estimate
287,2025FY,0.73,4200,3066,5000,0.43,HIQ Estimate
288,2025FY,0.65,1800,1170,2000,0.38,HIQ Estimate
289,2025FY,0.68,2600,1768,3000,0.41,HIQ Estimate
290,2025FY,0.70,3200,2240,3800,0.42,HIQ Estimate
291,2025FY,0.68,2800,1904,3200,0.40,HIQ Estimate
292,2025FY,0.62,1800,1116,1500,0.33,HIQ Estimate
293,2025FY,0.58,1200,696,980,0.28,HIQ Estimate
294,2025FY,0.55,950,522,680,0.27,HIQ Estimate
295,2025FY,0.58,1400,812,1200,0.30,HIQ Estimate
296,2025FY,0.68,1600,1088,1400,0.32,HIQ Estimate
297,2025FY,0.62,1300,806,1100,0.28,HIQ Estimate
298,2025FY,0.62,2200,1364,2600,0.38,HIQ Estimate
299,2025FY,0.58,1100,638,900,0.27,HIQ Estimate
300,2025FY,0.65,2800,1820,3200,0.42,HIQ Estimate
301,2025FY,0.63,2400,1512,2800,0.40,HIQ Estimate
302,2025FY,0.60,2200,1320,2600,0.38,HIQ Estimate
303,2025FY,0.62,1400,868,1200,0.30,HIQ Estimate
304,2025FY,0.65,2200,1430,2600,0.38,HIQ Estimate
305,2025FY,0.58,950,551,780,0.26,HIQ Estimate
306,2025FY,0.60,1000,600,820,0.27,HIQ Estimate
307,2025FY,0.58,880,510,720,0.25,HIQ Estimate
308,2025FY,0.55,700,385,580,0.22,HIQ Estimate
309,2025FY,0.57,850,485,700,0.24,HIQ Estimate
310,2025FY,0.56,750,420,620,0.23,HIQ Estimate
311,2025FY,0.65,2400,1560,2800,0.38,HIQ Estimate
312,2025FY,0.63,2600,1638,3000,0.39,HIQ Estimate
313,2025FY,0.60,1800,1080,2000,0.34,HIQ Estimate
314,2025FY,0.70,3200,2240,3800,0.42,HIQ Estimate
315,2025FY,0.62,1400,868,1200,0.30,HIQ Estimate
316,2025FY,0.65,2200,1430,2600,0.36,HIQ Estimate
317,2025FY,0.60,1600,960,1400,0.32,HIQ Estimate
318,2025FY,0.65,2400,1560,2800,0.38,HIQ Estimate
319,2025FY,0.58,1100,638,900,0.27,HIQ Estimate
320,2025FY,0.62,2800,1736,3200,0.40,HIQ Estimate
321,2025FY,0.55,1200,660,1000,0.26,HIQ Estimate
322,2025FY,0.58,1400,812,1200,0.29,HIQ Estimate
323,2025FY,0.56,1300,728,1100,0.27,HIQ Estimate
324,2025FY,0.58,850,493,720,0.25,HIQ Estimate
325,2025FY,0.55,700,385,580,0.22,HIQ Estimate
326,2025FY,0.57,800,456,660,0.24,HIQ Estimate
327,2025FY,0.54,680,367,560,0.21,HIQ Estimate
328,2025FY,0.53,650,345,520,0.20,HIQ Estimate
329,2025FY,0.58,900,522,760,0.26,HIQ Estimate
330,2025FY,0.55,720,396,590,0.22,HIQ Estimate
331,2025FY,0.52,600,312,490,0.19,HIQ Estimate
332,2025FY,0.60,1100,660,900,0.28,HIQ Estimate
333,2025FY,0.58,1100,638,900,0.26,HIQ Estimate
334,2025FY,0.55,1000,550,820,0.24,HIQ Estimate
335,2025FY,0.53,800,424,660,0.22,HIQ Estimate
336,2025FY,0.52,750,390,620,0.21,HIQ Estimate
337,2025FY,0.50,700,350,580,0.20,HIQ Estimate
338,2025FY,0.68,3200,2176,3800,0.42,HIQ Estimate
339,2025FY,0.65,3000,1950,3500,0.40,HIQ Estimate
340,2025FY,0.63,2800,1764,3200,0.38,HIQ Estimate
341,2025FY,0.65,3400,2210,4000,0.43,HIQ Estimate
342,2025FY,0.62,2600,1612,3000,0.38,HIQ Estimate
343,2025FY,0.60,2200,1320,2600,0.35,HIQ Estimate
